UZA,Modes,Month,Trips
"Anchorage, AK",VP,3/1/2020 0:00,13132
"Anchorage, AK",VP,4/1/2020 0:00,7916
"Anchorage, AK",VP,5/1/2020 0:00,9045
"Anchorage, AK",VP,6/1/2020 0:00,11619
"Anchorage, AK",VP,7/1/2020 0:00,11823
"Anchorage, AK",VP,8/1/2020 0:00,10956
"Anchorage, AK",VP,9/1/2020 0:00,12243
"Ann Arbor, MI",CB,1/1/2019 0:00,10205
"Ann Arbor, MI",CB,2/1/2019 0:00,8220
"Ann Arbor, MI",CB,3/1/2019 0:00,13038
"Ann Arbor, MI",CB,4/1/2019 0:00,8814
"Ann Arbor, MI",CB,5/1/2019 0:00,10904
"Ann Arbor, MI",CB,6/1/2019 0:00,8414
"Ann Arbor, MI",CB,7/1/2019 0:00,8337
"Ann Arbor, MI",CB,8/1/2019 0:00,9741
"Ann Arbor, MI",CB,9/1/2019 0:00,8400
"Ann Arbor, MI",CB,10/1/2019 0:00,11623
"Ann Arbor, MI",CB,11/1/2019 0:00,11266
"Ann Arbor, MI",CB,12/1/2019 0:00,13278
"Ann Arbor, MI",CB,1/1/2020 0:00,10542
"Ann Arbor, MI",CB,2/1/2020 0:00,9749
"Ann Arbor, MI",CB,3/1/2020 0:00,6234
"Ann Arbor, MI",CB,4/1/2020 0:00,0
"Ann Arbor, MI",CB,5/1/2020 0:00,0
"Ann Arbor, MI",CB,6/1/2020 0:00,0
"Ann Arbor, MI",CB,7/1/2020 0:00,0
"Ann Arbor, MI",CB,8/1/2020 0:00,0
"Ann Arbor, MI",CB,9/1/2020 0:00,0
"Ann Arbor, MI",DR,1/1/2019 0:00,16206
"Ann Arbor, MI",DR,2/1/2019 0:00,16884
"Ann Arbor, MI",DR,3/1/2019 0:00,18016
"Ann Arbor, MI",DR,4/1/2019 0:00,17941
"Ann Arbor, MI",DR,5/1/2019 0:00,17917
"Ann Arbor, MI",DR,6/1/2019 0:00,16495
"Ann Arbor, MI",DR,7/1/2019 0:00,17510
"Ann Arbor, MI",DR,8/1/2019 0:00,17958
"Ann Arbor, MI",DR,9/1/2019 0:00,18934
"Ann Arbor, MI",DR,10/1/2019 0:00,20846
"Ann Arbor, MI",DR,11/1/2019 0:00,17867
"Ann Arbor, MI",DR,12/1/2019 0:00,17638
"Ann Arbor, MI",DR,1/1/2020 0:00,16450
"Ann Arbor, MI",DR,2/1/2020 0:00,15175
"Ann Arbor, MI",DR,3/1/2020 0:00,11376
